,flaeche,buildup,imprevious,DGM,NDVI
1,12.842172302450916,0.0,17.0,336.4485168457031,0.6113616228103638
4,140.64099434493232,1.0,42.0,336.52099609375,0.5419592261314392
7,81.01405469686131,0.0,27.0,358.7127685546875,0.5781839489936829
8,203.3118235897255,1.0,71.0,293.0945129394531,0.428473562002182
9,66.57434510932745,1.0,51.0,361.7227783203125,0.5713741183280945
16,27.935656795829622,0.0,32.0,331.9170227050781,0.6726534962654114
18,387.58308240419456,1.0,98.0,337.40850830078125,0.1379515379667282
25,376.01942586678496,1.0,74.0,303.17877197265625,0.4953490197658539
32,85.0065850693419,1.0,52.0,345.8365173339844,0.5240291953086853
34,253.477060054029,1.0,47.0,350.38653564453125,0.4775579869747162
36,174.4953547130821,1.0,99.0,285.5295104980469,0.3228494822978973
38,59.313460492878505,0.0,36.0,339.062255859375,0.5779259204864502
42,128.55692365343097,1.0,56.0,367.4117431640625,0.4531941711902618
47,39.05710399996564,0.0,4.0,325.9844970703125,0.6530027389526367
51,195.77632885692557,1.0,86.0,318.31402587890625,0.427455723285675
53,149.46352158779365,0.0,36.0,331.4715270996094,0.60831618309021
58,116.0745799944437,0.0,21.0,333.03399658203125,0.5639203786849976
59,141.23187435274468,1.0,48.0,296.48876953125,0.4961239695549011
65,106.15302509300504,0.0,25.0,296.0675048828125,0.5595576763153076
68,143.09110170401397,0.0,54.0,304.6425170898437,0.5582319498062134
80,63.484968558527406,0.0,13.0,333.0965270996094,0.6208391189575195
81,25.598674797726577,1.0,60.0,334.2272644042969,0.510988175868988
83,124.94527995522938,0.0,37.0,311.5217590332031,0.5548312664031982
86,145.1718599124479,0.0,11.0,333.8380126953125,0.5611633658409119
87,160.57774779991425,0.0,44.0,341.4667663574219,0.3454427123069763
90,28.657294548228048,0.0,12.0,294.1725158691406,0.5773512721061707
98,9.484050653522102,1.0,92.0,295.31451416015625,0.4034041464328766
100,35.748972856022206,0.0,15.0,287.7255249023437,0.6605871319770813
