OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
1.0,6.114999771,12.8421723,14.3872809,78.1805066,0.0,17.0,0.0,38.0,336.4485168,0.611361623
4.0,9.923999786,140.6409943,181.9988858,1414.602582,1.0,42.0,0.0,0.0,336.5209961,0.541959226
7.0,8.017999649,81.0140547,95.04337039,659.2757511,0.0,27.0,0.0,40.0,358.7127686,0.578183949
8.0,20.07999992,203.3118236,259.575331,4082.501418,1.0,71.0,0.0,0.0,293.0945129,0.428473562
9.0,6.658500195,66.57434511,77.22562677,455.1732018,1.0,51.0,0.0,0.0,361.7227783,0.571374118
16.0,5.177333355,27.9356568,27.97348205,105.0419625,0.0,32.0,0.0,0.0,331.9170227,0.672653496
18.0,14.04699993,387.5830824,388.0229453,5444.379559,1.0,98.0,0.0,0.0,337.4085083,0.137951538
25.0,6.232500076,376.0194259,376.0191912,2752.338988,1.0,74.0,0.0,0.0,303.178772,0.49534902
32.0,6.591666698,85.00658507,108.246027,654.9262627,1.0,52.0,0.0,0.0,345.8365173,0.524029195
34.0,9.75549984,253.4770601,279.2115775,2304.361749,1.0,47.0,0.0,0.0,350.3865356,0.477557987
36.0,8.194833755,174.4953547,213.5671185,1629.691133,1.0,99.0,0.0,0.0,285.5295105,0.322849482
38.0,3.66142869,59.31346049,60.08841552,213.5463083,0.0,36.0,0.0,0.0,339.0622559,0.57792592
42.0,5.774250031,128.5569237,152.7066471,919.6012915,1.0,56.0,0.0,0.0,367.4117432,0.453194171
47.0,7.262000084,39.057104,42.52090547,283.6326892,0.0,4.0,0.0,52.0,325.9844971,0.653002739
51.0,13.92000008,195.7763289,232.4215769,2355.725966,1.0,86.0,0.0,0.0,318.3140259,0.427455723
53.0,12.48950005,149.4635216,172.7900143,1875.479074,0.0,36.0,0.0,0.0,331.4715271,0.608316183
58.0,6.704999924,116.07458,138.7548682,1096.241546,0.0,21.0,0.0,29.0,333.0339966,0.563920379
59.0,9.331666946,141.2318744,187.7453252,1714.449808,1.0,48.0,0.0,0.0,296.4887695,0.49612397
65.0,6.100500107,106.1530251,186.6005794,1085.11068,0.0,25.0,0.0,0.0,296.0675049,0.559557676
68.0,6.056333542,143.0911017,156.1371818,1233.850996,0.0,54.0,0.0,0.0,304.6425171,0.55823195
80.0,5.949999809,63.48496856,63.50563931,377.7355629,0.0,13.0,0.0,0.0,333.0965271,0.620839119
81.0,7.197999954,25.5986748,34.42744904,273.3662357,1.0,60.0,0.0,0.0,334.2272644,0.510988176
83.0,5.294000149,124.94528,131.6625376,665.3014561,0.0,37.0,0.0,0.0,311.521759,0.554831266
86.0,5.413333416,145.1718599,165.0389416,1222.190357,0.0,11.0,0.0,0.0,333.8380127,0.561163366
87.0,4.300000191,160.5777478,169.2562106,947.606499,0.0,44.0,0.0,0.0,341.4667664,0.345442712
90.0,5.545666695,28.65729455,28.66137218,132.3457843,0.0,12.0,0.0,0.0,294.1725159,0.577351272
98.0,9.553999901,9.484050654,14.60902318,148.5826296,1.0,92.0,0.0,0.0,295.3145142,0.403404146
100.0,5.631000042,35.74897286,38.76849109,194.1189664,0.0,15.0,0.0,0.0,287.7255249,0.660587132
107.0,2.545000076,19.165754,19.23061666,48.77684393,1.0,38.0,0.0,0.0,360.03125,0.689708114
108.0,12.10200024,133.4365978,133.8322152,1614.849706,1.0,100.0,0.0,0.0,286.4032593,0.26446414
109.0,7.176666737,55.81288454,68.92823989,366.8203577,1.0,42.0,0.0,0.0,331.2947693,0.583092451
111.0,6.432333469,66.24349381,79.74882489,647.2290192,0.0,27.0,0.0,0.0,283.6237793,0.554374218
114.0,8.723999977,67.674389,70.06336607,590.3913696,1.0,61.0,0.0,0.0,312.8260193,0.627126932
121.0,4.813199997,79.4467726,93.649638,452.2353212,1.0,56.0,0.0,0.0,299.2390137,0.41444096
132.0,9.579999924,16.07745225,23.25057892,154.0219926,0.0,33.0,0.0,0.0,344.7312622,0.474663854
133.0,11.63000011,15.05782176,21.22959294,175.8639262,0.0,0.0,0.0,55.0,334.7482605,0.597016156
142.0,9.568499565,59.678678,95.57567018,718.288352,0.0,14.0,0.0,40.0,302.3099976,0.68312335
143.0,6.526000023,101.0246916,130.3264918,614.7055685,1.0,42.0,0.0,0.0,325.919281,0.626813531
149.0,4.267749786,54.2847063,55.49834103,217.9119463,0.0,39.0,0.0,0.0,342.5792847,0.604304671
155.0,4.894666672,58.2120444,62.50903677,512.1057435,0.0,16.0,0.0,0.0,351.8082581,0.583703339
164.0,3.095999956,13.4524399,13.45244331,41.64875394,1.0,59.0,0.0,0.0,307.2722778,0.285113305
168.0,10.0,63.2270896,80.29260437,632.270896,0.0,32.0,0.0,0.0,325.5247803,0.545997143
174.0,7.483500004,63.4346052,77.41160358,512.026488,1.0,33.0,0.0,39.0,324.411499,0.580025315
177.0,19.18000031,18.3585704,21.99090396,352.1173803,1.0,47.0,0.0,0.0,292.8492432,0.369801998
