OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
7553.0,8.935500145,190.9766393,247.2001574,2735.598908,1.0,95.0,0.0,0.0,315.47052,0.402841687
108241.0,4.668000221,12.424878,12.47404553,37.21934265,0.0,0.0,1.0,0.0,303.5095215,0.54281199
88228.0,7.297999859,2.6248065,2.6248052,19.15583784,0.0,36.0,0.0,0.0,315.4275208,0.617801547
4759.0,11.61200047,41.002687,52.36906184,476.1232014,0.0,0.0,0.0,0.0,380.4832764,0.738776088
25498.0,3.844000101,266.7261445,266.7260382,1025.295299,0.0,74.0,0.0,0.0,303.5322571,0.560682297
115964.0,5.498000145,46.2771563,63.11813828,270.886122,1.0,52.0,0.0,0.0,305.5010071,0.538084507
34504.0,11.28999996,70.75532866,90.12166514,798.8276605,0.0,35.0,0.0,0.0,332.6200256,0.529541254
44888.0,8.278499603,74.23479465,74.40759579,758.5890323,0.0,4.0,0.0,0.0,317.2135315,0.723507881
85174.0,3.117000103,0.648969,0.65036178,2.022836374,0.0,0.0,0.0,38.0,333.9172668,0.692605019
5761.0,2.286000013,156.4432091,156.4529912,357.6291761,1.0,39.0,0.0,0.0,331.625,0.554346502
115114.0,7.022999763,8.928167801,11.30101044,62.63486908,0.0,49.0,0.0,0.0,312.9945068,0.473333836
113203.0,25.44499969,58.98576001,58.98589113,1500.892663,0.0,19.0,0.0,0.0,322.8757629,0.584358513
42115.0,7.330999851,1.252705349,1.525694261,9.183582916,0.0,66.0,0.0,0.0,375.914032,0.452045918
118130.0,5.587999821,26.701475,26.70157403,149.2078423,1.0,100.0,0.0,0.0,301.9902649,0.147048578
80236.0,20.15399933,296.1849276,296.4790812,5969.311031,1.0,67.0,0.0,0.0,334.9095154,0.384679466
64532.0,6.025000095,32.5359672,32.75662341,196.0292024,1.0,22.0,0.0,0.0,320.87677,0.512670457
74927.0,4.014999866,2.190804735,2.190812692,5.952319529,1.0,86.0,0.0,0.0,289.7072754,0.327322215
8850.0,8.626333237,78.1276495,108.9588457,699.9247413,1.0,60.0,0.0,0.0,296.7810059,0.555006385
45385.0,6.755000114,162.9452126,177.5734858,1146.062776,1.0,31.0,0.0,0.0,377.3367615,0.524057865
23261.0,2.5,2.765929,2.765952829,6.914822501,1.0,97.0,0.0,0.0,287.0289917,0.23804009
36231.0,7.822000027,181.8702705,250.3964909,2764.790896,1.0,99.0,0.0,0.0,292.9544983,0.278334916
65119.0,9.82733345,26.03052785,38.42131653,273.317257,0.0,27.0,0.0,0.0,345.3560181,0.608157098
33724.0,2.154999971,57.90354461,57.90417204,122.4025604,0.0,0.0,0.0,54.0,311.4352417,0.707970738
76174.0,8.895999908,92.7448975,131.2401089,884.648183,1.0,41.0,0.0,0.0,318.3630066,0.548045635
25092.0,2.987600088,93.63299855,93.63213114,279.8168342,1.0,74.0,0.0,0.0,299.1025085,0.468631059
40601.0,14.16349983,168.5150833,210.4273717,2395.088886,0.0,31.0,0.0,0.0,345.7062683,0.639219046
62876.0,4.016666889,78.91250792,81.72582612,365.7255679,1.0,32.0,0.0,0.0,361.4497681,0.493162632
56573.0,9.498000145,146.8856036,195.4791456,1365.342898,1.0,63.0,0.0,0.0,299.2185059,0.62066853
67578.0,5.963399887,183.259276,213.4899352,2301.53515,1.0,45.0,0.0,0.0,292.0745239,0.567388475
25960.0,7.736000061,111.4874091,128.4893602,862.4665968,0.0,13.0,0.0,0.0,346.8012695,0.579934716
4919.0,14.84000015,88.519361,88.57368085,1299.682438,0.0,9.0,0.0,53.0,330.3565063,0.621158242
26027.0,9.403666496,231.1342088,231.1682327,1846.368261,1.0,100.0,0.0,0.0,304.2017517,0.126170784
44595.0,7.181333542,65.33187145,81.81292992,457.7777353,0.0,35.0,0.0,0.0,337.192749,0.563976288
52028.0,5.631000042,33.03525521,33.53310551,112.315819,0.0,10.0,0.0,40.0,344.9057617,0.675578892
74750.0,8.271666527,180.5286488,220.4511071,2082.942071,0.0,66.0,0.0,0.0,291.1700134,0.341217101
45882.0,11.77449989,65.76918136,72.17139659,770.6269857,1.0,58.0,0.0,0.0,342.0310059,0.697226286
87794.0,9.300000191,400.0,399.9988742,3720.0,1.0,100.0,0.0,0.0,298.6470032,-0.016368058
94431.0,7.3125,106.8377738,119.4689771,848.9410943,0.0,23.0,0.0,0.0,311.3002625,0.535283446
109085.0,22.19799995,73.398,103.2934167,1629.288804,1.0,100.0,0.0,0.0,303.5952759,0.167284325
82764.0,6.798500061,362.0379775,362.03798,2798.584548,1.0,100.0,0.0,0.0,304.5195313,0.135502487
16869.0,8.454500198,94.58079106,96.95183085,400.8893002,1.0,56.0,0.0,0.0,296.6152649,0.669569075
45585.0,6.699999809,123.463914,123.4639406,827.2082238,1.0,100.0,0.0,0.0,288.542511,0.128798023
24198.0,13.22099972,48.1260789,60.66147981,636.2748891,1.0,71.0,0.0,0.0,288.9125061,0.524159372
11714.0,8.513400078,135.8755089,172.522975,1423.577267,1.0,23.0,0.0,0.0,322.6285095,0.578794956
42478.0,6.662666798,133.0749743,157.9068924,1945.937416,1.0,47.0,0.0,0.0,338.616272,0.63778615
26672.0,10.63000011,114.581041,165.2810059,1217.996466,1.0,51.0,0.0,0.0,354.7327576,0.549707115
46702.0,10.63700008,233.1744713,304.7301309,2629.737245,1.0,100.0,0.0,0.0,290.8049927,0.223942861
18035.0,8.06760025,366.8934353,458.835399,3509.45251,1.0,90.0,0.0,0.0,354.3702698,0.256150126
94847.0,5.234000206,1.723530901,1.72353072,9.020960735,1.0,100.0,0.0,0.0,325.4525146,0.121324115
22184.0,8.450333595,140.253727,150.0517804,1180.548505,1.0,93.0,0.0,0.0,316.823761,0.433851838
