,OBJECTID
1,1
4,4
7,7
8,8
9,9
16,16
18,18
25,25
32,32
34,34
36,36
38,38
42,42
47,47
51,51
53,53
58,58
59,59
65,65
68,68
80,80
81,81
83,83
86,86
87,87
90,90
98,98
100,100
107,107
108,108
109,109
111,111
114,114
121,121
132,132
133,133
142,142
143,143
149,149
155,155
164,164
168,168
174,174
177,177
182,182
190,190
197,197
202,202
208,208
215,215
216,216
220,220
226,226
227,227
231,231
232,232
236,236
242,242
246,246
247,247
249,249
259,259
266,266
269,269
272,272
273,273
287,287
291,291
292,292
293,293
301,301
307,307
310,310
325,325
327,327
329,329
330,330
338,338
344,344
349,349
350,350
353,353
360,360
363,363
364,364
367,367
378,378
382,382
384,384
386,386
387,387
388,388
389,389
393,393
399,399
407,407
417,417
418,418
423,423
431,431
437,437
438,438
443,443
445,445
451,451
452,452
457,457
462,462
474,474
479,479
489,489
493,493
494,494
497,497
499,499
500,500
508,508
514,514
517,517
522,522
524,524
525,525
529,529
534,534
541,541
544,544
562,562
565,565
575,575
576,576
582,582
591,591
594,594
595,595
597,597
600,600
608,608
612,612
618,618
623,623
625,625
630,630
632,632
634,634
640,640
642,642
645,645
646,646
649,649
652,652
658,658
660,660
665,665
667,667
680,680
681,681
684,684
696,696
705,705
708,708
710,710
711,711
718,718
722,722
723,723
731,731
732,732
734,734
737,737
750,750
751,751
753,753
756,756
761,761
766,766
775,775
776,776
777,777
781,781
789,789
792,792
794,794
798,798
801,801
811,811
812,812
822,822
828,828
830,830
832,832
836,836
838,838
839,839
840,840
849,849
854,854
855,855
864,864
866,866
869,869
872,872
874,874
880,880
884,884
894,894
899,899
903,903
906,906
908,908
912,912
913,913
915,915
917,917
924,924
928,928
930,930
935,935
937,937
942,942
944,944
946,946
957,957
959,959
960,960
967,967
969,969
970,970
974,974
975,975
977,977
978,978
992,992
994,994
995,995
998,998
1006,1006
1010,1010
1014,1014
1018,1018
1021,1021
1022,1022
1023,1023
1025,1025
1028,1028
1032,1032
1036,1036
1037,1037
1040,1040
1050,1050
1052,1052
1054,1054
1056,1056
1060,1060
1062,1062
1064,1064
1065,1065
1068,1068
1069,1069
1075,1075
1077,1077
1088,1088
1089,1089
1096,1096
1099,1099
1102,1102
1110,1110
1111,1111
1116,1116
1119,1119
1121,1121
1123,1123
1125,1125
1126,1126
1127,1127
1130,1130
1132,1132
1134,1134
1136,1136
1139,1139
1140,1140
1141,1141
1146,1146
1151,1151
1152,1152
1159,1159
1166,1166
1177,1177
1182,1182
1184,1184
1186,1186
1187,1187
1189,1189
1192,1192
1196,1196
1203,1203
1205,1205
1208,1208
1210,1210
1211,1211
1213,1213
1218,1218
1219,1219
1220,1220
1223,1223
1224,1224
1226,1226
1227,1227
1241,1241
1247,1247
1250,1250
1251,1251
1254,1254
1255,1255
1257,1257
